"","mgi_symbol","eventID","AS_type","chromosome_name","band"
"56","Ogfod2","ENSMUSG00000023707;A3:5:124113528-124114065:124113528-124114479:+","A3","5","qF"
"57","Prkn","ENSMUSG00000023826;A3:17:11237702-11303590:11237702-11303593:+","A3","17","qA1"
"58","Mtch1","ENSMUSG00000024012;A3:17:29332279-29332661:29332238-29332661:-","A3","17","qA3.3"
"59","Mtch1","ENSMUSG00000024012;A3:17:29332279-29332661:29332257-29332661:-","A3","17","qA3.3"
"60","Fgd2","ENSMUSG00000024013;A3:17:29365610-29366971:29365610-29367005:+","A3","17","qA3.3"
"61","Epb41l3","ENSMUSG00000024044;A3:17:69247754-69248630:69247754-69248632:+","A3","17","qE1.3"
"62","Prkd3","ENSMUSG00000024070;A3:17:78962579-78966175:78962576-78966175:-","A3","17","qE3"
"63","Pdia2","ENSMUSG00000024184;A3:17:26196802-26196892:26196784-26196892:-","A3","17","qA3.3"
"64","Zfp523","ENSMUSG00000024220;A3:17:28202348-28202420:28202348-28202435:+","A3","17","qA3.3"
"65","Psd2","ENSMUSG00000024347;A3:18:36006147-36006561:36006147-36006641:+","A3","18","qB2"
"66","H2-M10.1","ENSMUSG00000024448;A3:17:36325837-36326078:36325708-36326078:-","A3","17","qB1"
"67","Snx15","ENSMUSG00000024787;A3:19:6124188-6128049:6123950-6128049:-","A3","19","qA"
"68","Kif20b","ENSMUSG00000024795;A3:19:34936848-34936938:34936848-34936967:+","A3","19","qC1"
"69","Klc2","ENSMUSG00000024862;A3:19:5110264-5110367:5110258-5110367:-","A3","19","qA"
"70","Ppp6r3","ENSMUSG00000024908;A3:19:3473866-3484831:3473815-3484831:-","A3","19","qA"
"71","Lrp5","ENSMUSG00000024913;A3:19:3610238-3612198:3610209-3612198:-","A3","19","qA"
"72","Kat5","ENSMUSG00000024926;A3:19:5608984-5609236:5608957-5609236:-","A3","19","qA"
"73","Huwe1","ENSMUSG00000025261;A3:X:151897253-151898444:151897253-151898447:+","A3","X","qF3"
"74","Sp4","ENSMUSG00000025323;A3:12:118254609-118261727:118254603-118261727:-","A3","12","qF2"
"75","Rabgef1","ENSMUSG00000025340;A3:5:130191043-130197947:130191043-130197950:+","A3","5","qG1.3"
"76","Rdh5","ENSMUSG00000025350;A3:10:128913942-128914135:128913936-128914135:-","A3","10","qD3"
"77","R3hdm2","ENSMUSG00000025404;A3:10:127459575-127462188:127459575-127462206:+","A3","10","qD3"
"78","Scart1","ENSMUSG00000025461;A3:7:140228818-140228982:140228818-140229035:+","A3","7","qF4"
"79","Adam8","ENSMUSG00000025473;A3:7:139991449-139992432:139991446-139992432:-","A3","7","qF4"
"80","Cdhr5","ENSMUSG00000025497;A3:7:141272002-141272101:141271720-141272101:-","A3","7","qF4"
"81","Irf7","ENSMUSG00000025498;A3:7:141264315-141264493:141264048-141264493:-","A3","7","qF4"
"82","Irf7","ENSMUSG00000025498;A3:7:141264783-141265075:141264559-141265075:-","A3","7","qF4"
"83","Mkln1","ENSMUSG00000025609;A3:6:31431249-31432936:31431249-31432939:+","A3","6","qA3.3"
"84","Marchf8","ENSMUSG00000025702;A3:6:116401122-116401337:116401122-116401416:+","A3","6","qE3"
"85","Tmem14a","ENSMUSG00000025933;A3:1:21226679-21229408:21226679-21229591:+","A3","1","qA4"
"86","Tmem70","ENSMUSG00000025940;A3:1:16665505-16667665:16665505-16667668:+","A3","1","qA3"
"87","Eef1b2","ENSMUSG00000025967;A3:1:63177876-63178023:63177876-63178423:+","A3","1","qC2"
"88","Trip12","ENSMUSG00000026219;A3:1:84730696-84731623:84730599-84731623:-","A3","1","qC5"
"89","Trip12","ENSMUSG00000026219;A3:1:84745185-84747178:84745170-84747178:-","A3","1","qC5"
"90","Rnpepl1","ENSMUSG00000026269;A3:1:92918126-92918873:92918126-92918906:+","A3","1","qD"
"91","Gpr35","ENSMUSG00000026271;A3:1:92973281-92982558:92973281-92983144:+","A3","1","qD"
"92","Atg4b","ENSMUSG00000026280;A3:1:93775234-93775628:93775234-93778285:+","A3","1","qD"
"93","Axdnd1","ENSMUSG00000026601;A3:1:156392879-156395432:156392789-156395432:-","A3","1","qG3"
"94","Nuf2","ENSMUSG00000026683;A3:1:169528811-169531322:169525449-169531322:-","A3","1","qH2.3"
"95","Rsu1","ENSMUSG00000026727;A3:2:13219160-13224305:13219127-13224305:-","A3","2","qA1"
"96","Mllt10","ENSMUSG00000026743;A3:2:18159711-18162317:18159711-18162608:+","A3","2","qA3"
"97","Gfi1b","ENSMUSG00000026815;A3:2:28611683-28612781:28611584-28612781:-","A3","2","qA3"
"98","Uap1l1","ENSMUSG00000026956;A3:2:25363999-25364101:25363857-25364101:-","A3","2","qA3"
"99","Galnt3","ENSMUSG00000026994;A3:2:66093731-66095201:66093666-66095201:-","A3","2","qC1.3"
"100","Cops2","ENSMUSG00000027206;A3:2:125842759-125844810:125842732-125844810:-","A3","2","qF1"
"101","Ralgapb","ENSMUSG00000027652;A3:2:158440971-158443238:158440971-158443304:+","A3","2","qH1"
"102","Supt20","ENSMUSG00000027751;A3:3:54698659-54701487:54698659-54701490:+","A3","3","qC"
"103","Clcc1","ENSMUSG00000027884;A3:3:108662033-108662509:108662033-108662513:+","A3","3","qF3"
"104","Odf2l","ENSMUSG00000028256;A3:3:145144416-145145830:145144416-145145876:+","A3","3","qH2"
"105","Mpdz","ENSMUSG00000028402;A3:4:81284699-81285463:81283437-81285463:-","A3","4","qC3"
"106","Artn","ENSMUSG00000028539;A3:4:117928370-117929019:117928163-117929019:-","A3","4","qD2.1"
"107","Cyb5rl","ENSMUSG00000028621;A3:4:107081094-107084127:107081094-107087297:+","A3","4","qC7"
"108","Ccdc30","ENSMUSG00000028637;A3:4:119352702-119353070:119352652-119353070:-","A3","4","qD2.1"
"109","P3h1","ENSMUSG00000028641;A3:4:119235398-119236774:119235398-119236777:+","A3","4","qD2.1"
"110","Ube4b","ENSMUSG00000028960;A3:4:149335335-149337385:149335303-149337385:-","A3","4","qE2"
"111","Rfc1","ENSMUSG00000029191;A3:5:65278823-65279457:65278820-65279457:-","A3","5","qC3.1"
"112","Glmn","ENSMUSG00000029276;A3:5:107575364-107578451:107575340-107578451:-","A3","5","qF"
"113","Spp1","ENSMUSG00000029304;A3:5:104435196-104436266:104435196-104436272:+","A3","5","qE5"
"114","Eif2b1","ENSMUSG00000029388;A3:5:124573805-124574598:124573754-124574598:-","A3","5","qF"
"115","Cpsf4","ENSMUSG00000029625;A3:5:145177302-145178758:145177302-145178836:+","A3","5","qG2"
"116","Cpsf4","ENSMUSG00000029625;A3:5:145177302-145178833:145177302-145178836:+","A3","5","qG2"
"117","Cux1","ENSMUSG00000029705;A3:5:136313314-136314307:136313008-136314307:-","A3","5","qG2"
"118","Sspo","ENSMUSG00000029797;A3:6:48467990-48468457:48467990-48468475:+","A3","6","qB2.3"
"119","Foxp1","ENSMUSG00000030067;A3:6:99015513-99016528:99015510-99016528:-","A3","6","qD3"
"120","Erc1","ENSMUSG00000030172;A3:6:119825209-119847877:119824619-119847877:-","A3","6","qF1"
"121","Rad51ap1","ENSMUSG00000030346;A3:6:126927690-126928141:126927687-126928141:-","A3","6","qF3"
"122","Strn4","ENSMUSG00000030374;A3:7:16831138-16831346:16831138-16831465:+","A3","7","qA2"
"123","Fbxo17","ENSMUSG00000030598;A3:7:28736203-28737339:28736203-28737665:+","A3","7","qB1"
"124","Nupr1","ENSMUSG00000030717;A3:7:126625185-126625323:126625135-126625323:-","A3","7","qF3"
"125","Uros","ENSMUSG00000030979;A3:7:133702469-133708924:133702419-133708924:-","A3","7","qF3"
"126","Usp9x","ENSMUSG00000031010;A3:X:13114644-13116609:13114644-13116624:+","A3","X","qA1.1"
"127","Slc35a2","ENSMUSG00000031156;A3:X:7889763-7892140:7889763-7892730:+","A3","X","qA1.1"
"128","Flna","ENSMUSG00000031328;A3:X:74240328-74240413:74240326-74240413:-","A3","X","qA7.3"
"129","Hcfc1","ENSMUSG00000031386;A3:X:73948418-73948902:73948286-73948902:-","A3","X","qA7.3"
"130","Crispld2","ENSMUSG00000031825;A3:8:120018953-120023565:120018953-120023568:+","A3","8","qE1"
"131","Usp10","ENSMUSG00000031826;A3:8:119956263-119956583:119956263-119957157:+","A3","8","qE1"
"132","Mau2","ENSMUSG00000031858;A3:8:70019660-70019747:70019653-70019747:-","A3","8","qB3.3"
"133","Taf1d","ENSMUSG00000031939;A3:9:15311695-15311818:15311695-15311909:+","A3","9","qA2"
"134","Acad8","ENSMUSG00000031969;A3:9:26992288-26999394:26992260-26999394:-","A3","9","qA4"
"135","Commd4","ENSMUSG00000032299;A3:9:57156064-57156172:57156033-57156172:-","A3","9","qB"
"136","Col12a1","ENSMUSG00000032332;A3:9:79601179-79602200:79600007-79602200:-","A3","9","qE1"
"137","Ip6k2","ENSMUSG00000032599;A3:9:108796572-108796655:108796572-108796671:+","A3","9","qF2"
"138","Fam189b","ENSMUSG00000032657;A3:3:89183948-89184055:89183948-89184152:+","A3","3","qF1"
"139","Pkd1","ENSMUSG00000032855;A3:17:24590937-24591015:24590937-24591175:+","A3","17","qA3.3"
"140","Atg9a","ENSMUSG00000033124;A3:1:75190880-75191824:75190877-75191824:-","A3","1","qC4"
"141","Hsf4","ENSMUSG00000033249;A3:8:105272584-105272706:105272584-105272810:+","A3","8","qD3"
"142","Arhgef5","ENSMUSG00000033542;A3:6:43283331-43283893:43283331-43285359:+","A3","6","qB2.1"
"143","Nrxn2","ENSMUSG00000033768;A3:19:6519327-6531268:6519327-6531844:+","A3","19","qA"
"144","Gas2l1","ENSMUSG00000034201;A3:11:5065094-5065215:5064478-5065215:-","A3","11","qA1"
"145","Smc4","ENSMUSG00000034349;A3:3:69006213-69007189:69006213-69007264:+","A3","3","qE1"
"146","Pja1","ENSMUSG00000034403;A3:X:99468600-99470617:99468314-99470617:-","A3","X","qC3"
"147","Ythdc2","ENSMUSG00000034653;A3:18:44873133-44877618:44873133-44877644:+","A3","18","qB3"
"148","Cacna1a","ENSMUSG00000034656;A3:8:84536458-84537436:84536458-84537439:+","A3","8","qC3"
"149","Tle6","ENSMUSG00000034758;A3:10:81595405-81595480:81595375-81595480:-","A3","10","qC1"
"150","Zc4h2","ENSMUSG00000035062;A3:X:95643480-95645307:95643459-95645307:-","A3","X","qC3"
"151","Stab2","ENSMUSG00000035459;A3:10:86856742-86858108:86856739-86858108:-","A3","10","qC1"
"152","Lysmd3","ENSMUSG00000035840;A3:13:81665269-81669220:81665269-81669364:+","A3","13","qC3"
"153","Fmnl2","ENSMUSG00000036053;A3:2:53126976-53131838:53126976-53131840:+","A3","2","qC1.1"
"154","Edc4","ENSMUSG00000036270;A3:8:105889540-105889625:105889540-105889673:+","A3","8","qD3"
"155","Sbf1","ENSMUSG00000036529;A3:15:89293666-89293739:89293630-89293739:-","A3","15","qE3"
"156","Atp13a2","ENSMUSG00000036622;A3:4:141006503-141006679:141006503-141006753:+","A3","4","qD3"
"157","Arhgap33","ENSMUSG00000036882;A3:7:30534212-30534926:30534185-30534926:-","A3","7","qB1"
"158","Fam168b","ENSMUSG00000037503;A3:1:34819963-34828767:34819920-34828767:-","A3","1","qB"
"159","Zbtb42","ENSMUSG00000037638;A3:12:112678945-112679376:112678945-112679554:+","A3","12","qF1"
"160","Wnk2","ENSMUSG00000037989;A3:13:49042884-49044374:49042866-49044374:-","A3","13","qA5"
"161","Sct","ENSMUSG00000038580;A3:7:141278539-141278618:141278521-141278618:-","A3","7","qF4"
"162","Pln","ENSMUSG00000038583;A3:10:53337795-53343485:53337795-53343515:+","A3","10","qB3"
"163","Pln","ENSMUSG00000038583;A3:10:53337795-53343485:53337795-53343757:+","A3","10","qB3"
"164","Prc1","ENSMUSG00000038943;A3:7:80313208-80313527:80313208-80313530:+","A3","7","qD2"
"165","Ppp1r10","ENSMUSG00000039220;A3:17:35923425-35924013:35923425-35924037:+","A3","17","qB1"
"166","Prss23","ENSMUSG00000039405;A3:7:89510870-89517831:89510802-89517831:-","A3","7","qD3"
"167","Wfs1","ENSMUSG00000039474;A3:5:36968678-36971558:36968450-36971558:-","A3","5","qB3"
"168","Dock3","ENSMUSG00000039716;A3:9:106906780-106907230:106906714-106907230:-","A3","9","qF1"
"169","Arhgap29","ENSMUSG00000039831;A3:3:122002702-122003209:122002702-122003236:+","A3","3","qG1"
"170","Rere","ENSMUSG00000039852;A3:4:150616163-150616756:150616163-150616759:+","A3","4","qE2"
"171","Tax1bp3","ENSMUSG00000040158;A3:11:73180508-73180731:73180508-73181088:+","A3","11","qB4"
"172","Ankib1","ENSMUSG00000040351;A3:5:3694893-3700356:3694875-3700356:-","A3","5","qA1"
"173","Akap9","ENSMUSG00000040407;A3:5:4065386-4065805:4065386-4065812:+","A3","5","qA1"
"174","Tex2","ENSMUSG00000040548;A3:11:106513712-106519882:106513706-106519882:-","A3","11","qE1"
"175","Dhx33","ENSMUSG00000040620;A3:11:71001679-71004117:70999948-71004117:-","A3","11","qB4"
"176","Asgr2","ENSMUSG00000040963;A3:11:70092790-70092983:70092790-70093056:+","A3","11","qB3"
"177","Uspl1","ENSMUSG00000041264;A3:5:149188473-149193840:149188473-149193898:+","A3","5","qG3"
"178","Uspl1","ENSMUSG00000041264;A3:5:149188473-149193895:149188473-149193898:+","A3","5","qG3"
"179","Ccdc9","ENSMUSG00000041375;A3:7:16284413-16284495:16284362-16284495:-","A3","7","qA2"
"180","Zfp281","ENSMUSG00000041483;A3:1:136625051-136625268:136625051-136625272:+","A3","1","qE4"
"181","Gcn1","ENSMUSG00000041638;A3:5:115614600-115614861:115614600-115614864:+","A3","5","qF"
"182","Lrrc29","ENSMUSG00000041679;A3:8:105316068-105323265:105316022-105323265:-","A3","8","qD3"
"183","Git2","ENSMUSG00000041890;A3:5:114752330-114753279:114752327-114753279:-","A3","5","qF"
"184","Arhgef11","ENSMUSG00000041977;A3:3:87717174-87717421:87717174-87717424:+","A3","3","qF1"
"185","Gnl3","ENSMUSG00000042354;A3:14:31016454-31016813:31016392-31016813:-","A3","14","qB"
"186","Atxn2","ENSMUSG00000042605;A3:5:121811612-121814338:121811612-121814593:+","A3","5","qF"
"187","Upf2","ENSMUSG00000043241;A3:2:6034251-6040109:6034251-6040112:+","A3","2","qA1"
"188","Upf2","ENSMUSG00000043241;A3:2:6040561-6046898:6040561-6046901:+","A3","2","qA1"
"189","Efcab8","ENSMUSG00000044083;A3:2:153787752-153789152:153787752-153789156:+","A3","2","qH1"
"190","Acp1","ENSMUSG00000044573;A3:12:30904983-30905069:30904831-30905069:-","A3","12","qA2"
"191","Setd2","ENSMUSG00000044791;A3:9:110590436-110592399:110590436-110592402:+","A3","9","qF2"
"192","Olfr167","ENSMUSG00000045341;A3:16:19516727-19522002:19515525-19522002:-","A3","16","qA3"
"193","Akr1e1","ENSMUSG00000045410;A3:13:4601353-4602681:4601295-4602681:-","A3","13","qA1"
"194","Plekha7","ENSMUSG00000045659;A3:7:116127046-116128554:116127041-116128554:-","A3","7","qF1"
"195","Slc16a5","ENSMUSG00000045775;A3:11:115465057-115469233:115465057-115469336:+","A3","11","qE2"
"196","Tmem268","ENSMUSG00000045917;A3:4:63560405-63560882:63560405-63560912:+","A3","4","qC1"
"197","Pik3r6","ENSMUSG00000046207;A3:11:68536226-68539850:68536226-68539899:+","A3","11","qB3"
"198","Zfp62","ENSMUSG00000046311;A3:11:49213642-49214526:49213642-49214555:+","A3","11","qB1.2"
"199","Pramel12","ENSMUSG00000046862;A3:4:143415413-143416620:143415413-143416640:+","A3","4","qE1"
"200","Zfp445","ENSMUSG00000047036;A3:9:122862344-122865914:122862259-122865914:-","A3","9","qF4"
"201","Gm973","ENSMUSG00000047361;A3:1:59558226-59562643:59558226-59562646:+","A3","1","qC2"
"202","Olfr1318","ENSMUSG00000049758;A3:2:112154664-112155059:112154664-112155069:+","A3","2","qE3"
"203","Vwa3b","ENSMUSG00000050122;A3:1:37029428-37035637:37029428-37035708:+","A3","1","qB"
"204","Eml5","ENSMUSG00000051166;A3:12:98873205-98874507:98873088-98874507:-","A3","12","qE"
"205","Ywhag","ENSMUSG00000051391;A3:5:135932642-135934323:135930949-135934323:-","A3","5","qG2"
"206","Treml4","ENSMUSG00000051682;A3:17:48264440-48264632:48264440-48264644:+","A3","17","qC"
"207","Treml4","ENSMUSG00000051682;A3:17:48269436-48269682:48269436-48269709:+","A3","17","qC"
"208","Repin1","ENSMUSG00000052751;A3:6:48594052-48594791:48594052-48594862:+","A3","6","qB2.3"
"209","Camk2d","ENSMUSG00000053819;A3:3:126767579-126770785:126767579-126771774:+","A3","3","qG1"
"210","Sh2d4a","ENSMUSG00000053886;A3:8:68346173-68346654:68346173-68347197:+","A3","8","qB3.3"
"211","Gimap4","ENSMUSG00000054435;A3:6:48690457-48690842:48690457-48691366:+","A3","6","qB2.3"
"212","Sugct","ENSMUSG00000055137;A3:13:17684789-17694639:17684785-17694639:-","A3","13","qA2"
"213","Rnf181","ENSMUSG00000055850;A3:6:72361013-72361122:72360949-72361122:-","A3","6","qC1"
"214","Ebf1","ENSMUSG00000057098;A3:11:44883955-44907904:44883955-44907907:+","A3","11","qB1.1"
"215","Sema3b","ENSMUSG00000057969;A3:9:107607096-107609121:107607092-107609121:-","A3","9","qF1"
"216","Zfp809","ENSMUSG00000057982;A3:9:22235146-22236028:22235146-22236202:+","A3","9","qA3"
"217","Fam133b","ENSMUSG00000058503;A3:5:3561089-3564237:3561089-3564241:+","A3","5","qA1"
"218","Ube4a","ENSMUSG00000059890;A3:9:44953172-44959979:44953115-44959979:-","A3","9","qA5.2"
"219","H2-K1","ENSMUSG00000061232;A3:17:33996654-33996827:33996503-33996827:-","A3","17","qB1"
"220","Tmem91","ENSMUSG00000061702;A3:7:25669498-25670486:25669350-25670486:-","A3","7","qA3"
"221","Opcml","ENSMUSG00000062257;A3:9:28813412-28901516:28813412-28901519:+","A3","9","qA4"
"222","Zfp677","ENSMUSG00000062743;A3:17:21384020-21392461:21384020-21392466:+","A3","17","qA3.2"
"223","4833420G17Rik","ENSMUSG00000062822;A3:13:119464690-119465280:119464690-119466074:+","A3","13","qD2.3"
"224","Syne2","ENSMUSG00000063450;A3:12:76108215-76108864:76108215-76108867:+","A3","12","qC3"
"225","Crem","ENSMUSG00000063889;A3:18:3276775-3280949:3276729-3280949:-","A3","18","qA1"
"226","Pilrb1","ENSMUSG00000066684;A3:5:137857571-137857860:137857542-137857860:-","A3","5","qG2"
"227","Rnasel","ENSMUSG00000066800;A3:1:153749607-153751859:153749607-153751984:+","A3","1","qG3"
"228","Tm9sf4","ENSMUSG00000068040;A3:2:153161571-153178886:153161571-153178889:+","A3","2","qH1"
"229","Csde1","ENSMUSG00000068823;A3:3:103043931-103044578:103043931-103044759:+","A3","3","qF2.2"
"230","Tmem19","ENSMUSG00000069520;A3:10:115361959-115362387:115361847-115362387:-","A3","10","qD2"
"231","Rabepk","ENSMUSG00000070953;A3:2:34790655-34795172:34790567-34795172:-","A3","2","qB"
"232","Pcnp","ENSMUSG00000071533;A3:16:56024438-56029603:56024386-56029603:-","A3","16","qC1.1"
"233","Pcnp","ENSMUSG00000071533;A3:16:56024637-56029603:56024386-56029603:-","A3","16","qC1.1"
"234","Phf20l1","ENSMUSG00000072501;A3:15:66597447-66597665:66597447-66597677:+","A3","15","qD1-qD2"
"235","Ptgr2","ENSMUSG00000072946;A3:12:84308432-84310903:84308432-84310919:+","A3","12","qD1"
"236","Tmem185a","ENSMUSG00000073139;A3:X:70467356-70470118:70467203-70470118:-","A3","X","qA7.2"
"237","Tmem185a","ENSMUSG00000073139;A3:X:70467361-70470118:70467203-70470118:-","A3","X","qA7.2"
"238","9830107B12Rik","ENSMUSG00000073386;A3:17:48145708-48145951:48145561-48145951:-","A3","17","qC"
"239","Zfp568","ENSMUSG00000074221;A3:7:29998210-30013840:29998210-30013843:+","A3","7","qB1"
"240","Gm10767","ENSMUSG00000074826;A3:13:66907309-66907758:66907309-66907881:+","A3","13","qB3"
"241","Grk6","ENSMUSG00000074886;A3:13:55451843-55452135:55451843-55452237:+","A3","13","qB1"
"242","U2af1l4","ENSMUSG00000078765;A3:7:30563408-30563532:30563408-30563557:+","A3","7","qB1"
"243","Dpm1","ENSMUSG00000078919;A3:2:168211480-168212960:168211427-168212960:-","A3","2","qH3"
"244","Fam228a","ENSMUSG00000079177;A3:12:4732929-4734968:4732890-4734968:-","A3","12","qA1.1"
"245","Ulbp1","ENSMUSG00000079685;A3:10:7457208-7473254:7457101-7473254:-","A3","10","qA1"
"246","Trav17","ENSMUSG00000096397;A3:14:53806684-53806821:53806684-53806824:+","A3","14","qC2"
"247","Gm3383","ENSMUSG00000096629;A3:14:5798165-5807902:5798162-5807902:-","A3","14","qA2"
"248","Lilr4b","ENSMUSG00000112023;A3:10:51484569-51485216:51484569-51485713:+","A3","10","qB3"
"249","Clec2g","ENSMUSG00000000248;A5:6:128971306-128979396:128971194-128979396:+","A5","6","qF3"
"250","Dgke","ENSMUSG00000000276;A5:11:89044311-89048849:89044311-89048889:-","A5","11","qC"
"251","Col18a1","ENSMUSG00000001435;A5:10:77096535-77112218:77096535-77112959:-","A5","10","qC1"
"252","Gtf2h4","ENSMUSG00000001524;A5:17:35672828-35673526:35672828-35673534:-","A5","17","qB1"
"253","Nr1h3","ENSMUSG00000002108;A5:2:91193696-91194965:91193696-91195033:-","A5","2","qE1"
"254","Hbp1","ENSMUSG00000002996;A5:12:31944012-31950105:31944012-31950131:-","A5","12","qA3"
"255","Bcl2l12","ENSMUSG00000003190;A5:7:44993031-44993811:44993031-44994180:-","A5","7","qB3"
"256","Eno2","ENSMUSG00000004267;A5:6:124768337-124769249:124768337-124769437:-","A5","6","qF2"
