"","Gene.Name","eventID","AS_type","chromosome_name","band"
"16","Capzb","ENSMUSG00000028745.18;AF:chr4:139192969:139193028-139238909:139199267:139199328-139238909:+","AF","4","qD3"
"17","Gimap8","ENSMUSG00000064262.7;A3:chr6:48651103-48656042:48651103-48656530:+","A3","6","qB2.3"
"18","P2rx3","ENSMUSG00000027071.14;A5:chr2:85023576-85024110:85023576-85024116:-","A5","2","qD"
"19","Prrg2","ENSMUSG00000007837.11;AF:chr7:45060892-45061588:45061705:45060892-45062378:45062677:-","AF","7","qB3"
"20","Adgrb2","ENSMUSG00000028782.14;MX:chr4:130005108-130005390:130005554-130007562:130005108-130006752:130006916-130007562:+","MX","4","qD2.2"
"21","Pkn3","ENSMUSG00000026785.14;AF:chr2:30077684:30077799-30079534:30078754:30078790-30079534:+","AF","2","qB"
"22","Wdr17","ENSMUSG00000039375.16;A3:chr8:54643249-54645338:54643225-54645338:-","A3","8","qB1.3"
"23","Slc39a8","ENSMUSG00000053897.15;AF:chr3:135825279:135825531-135826240:135825657:135825800-135826240:+","AF","3","qG3"
"24","Slc16a3","ENSMUSG00000025161.16;AF:chr11:120948480:120948579-120954174:120949081:120949150-120954174:+","AF","11","qE2"
"25","Dmd","ENSMUSG00000045103.17;AF:chrX:82948870:82949147-83136628:83043402:83043478-83136628:+","AF","X","qB-qC1"
"26","Ache","ENSMUSG00000023328.14;A3:chr5:137291101-137291479:137291101-137291743:+","A3","5","qG2"
"27","Nr1h3","ENSMUSG00000002108.10;RI:chr2:91190185:91190641-91190739:91190947:-","RI","2","qE1"
"28","Ebf1","ENSMUSG00000057098.14;A5:chr11:44883955-44907904:44883931-44907904:+","A5","11","qB1.1"
"29","Nrep","ENSMUSG00000042834.14;AF:chr18:33463419-33463600:33463747:33463419-33463853:33464029:-","AF","18","qB1"
"30","Adgrb2","ENSMUSG00000028782.14;SE:chr4:130005108-130005390:130005554-130006752:+","SE","4","qD2.2"
"31","Ifi47","ENSMUSG00000078920.3;AF:chr11:49087039:49087144-49095389:49088264:49088369-49095389:+","AF","11","qB1.2"
"32","4430402I18Rik","ENSMUSG00000064202.15;A5:chr19:28941814-28944224:28941814-28944233:-","A5","19","qC1"
"33","Scn9a","ENSMUSG00000075316.11;A5:chr2:66537399-66540264:66537399-66540297:-","A5","2","qC1.3"
"34","Prrg2","ENSMUSG00000007837.11;AF:chr7:45060892-45061588:45061705:45060892-45062378:45062404:-","AF","7","qB3"
"35","Inca1","ENSMUSG00000057054.11;A5:chr11:70695948-70699920:70695948-70699988:-","A5","11","qB3"
"36","Gabbr1","ENSMUSG00000024462.17;A3:chr17:37048606-37049653:37048606-37049777:+","A3","17","qB1"
"37","Cdkl3","ENSMUSG00000020389.19;AL:chr11:52033611-52033782:52033869:52033611-52040561:52040593:+","AL","11","qB1.3"
"38","Def8","ENSMUSG00000001482.15;AF:chr8:123423527:123423643-123447788:123447182:123447268-123447788:+","AF","8","qE2"
"39","Brd3","ENSMUSG00000026918.16;AF:chr2:27464193-27475142:27475398:27464193-27507490:27507662:-","AF","2","qA3"
"40","Dcaf8","ENSMUSG00000026554.15;AL:chr1:172193901-172194556:172194794:172193901-172196883:172197005:+","AL","1","qH3"
"41","Syvn1","ENSMUSG00000024807.17;AF:chr19:6046638:6046981-6047917:6047085:6047128-6047917:+","AF","19","qA"
"42","Mprip","ENSMUSG00000005417.17;AF:chr11:59661305:59661418-59696126:59662495:59662948-59696126:+","AF","11","qB1.3"
"43","Camta1","ENSMUSG00000014592.20;A3:chr4:151084200-151084563:151083861-151084563:-","A3","4","qE2"
"44","Grb7","ENSMUSG00000019312.10;AF:chr11:98446394:98446555-98450766:98447068:98447249-98450766:+","AF","11","qD"
"45","Fgfr2","ENSMUSG00000030849.18;MX:chr7:130196374-130198419:130198563-130200983:130196374-130199758:130199905-130200983:-","MX","7","qF3"
"46","Fbxo27","ENSMUSG00000037463.14;AF:chr7:28693144:28693650-28694731:28694019:28694608-28694731:+","AF","7","qB1"
"47","Zfp629","ENSMUSG00000045639.14;AL:chr7:127608756:127608834-127612667:127611984:127612581-127612667:-","AL","7","qF3"
"48","Dcaf8","ENSMUSG00000026554.15;AL:chr1:172193901-172194556:172195466:172193901-172196883:172197005:+","AL","1","qH3"
"49","Rmnd5a","ENSMUSG00000002222.14;AF:chr6:71394779-71396074:71396282:71394779-71396852:71397198:-","AF","6","qC1"
"50","Radil","ENSMUSG00000029576.17;AF:chr5:142544003-142544893:142545028:142544003-142550926:142550965:-","AF","5","qG2"
"51","Zfp940","ENSMUSG00000050855.16;AF:chr7:29851017-29853277:29853442:29851017-29853497:29853669:-","AF","7","qB1"
"52","Radil","ENSMUSG00000029576.17;AF:chr5:142544003-142544893:142545028:142544003-142550980:142551098:-","AF","5","qG2"
"53","Gm3336","ENSMUSG00000095026.2;SE:chr8:70718632-70720420:70720728-70721777:+","SE","8","qB3.3"
"54","Spata5","ENSMUSG00000027722.14;AF:chr3:37419896:37420500-37424511:37420864:37421043-37424511:+","AF","3","qB"
"55","Acbd4","ENSMUSG00000056938.16;AL:chr11:103103644-103103900:103104021:103103644-103104093:103104174:+","AL","11","qE1"
"56","Map3k12","ENSMUSG00000023050.8;SE:chr15:102505568-102509290:102509397-102509919:-","SE","15","qF3"
"57","Map3k12","ENSMUSG00000023050.8;AF:chr15:102510005-102510584:102510700:102510005-102516788:102517004:-","AF","15","qF3"
"58","Slc35c2","ENSMUSG00000017664.16;AF:chr2:165283600-165287684:165287755:165283600-165287784:165287836:-","AF","2","qH3"
"59","Man2c1","ENSMUSG00000032295.15;SE:chr9:57138520-57138854:57138969-57139069:+","SE","9","qB"
"60","Phldb1","ENSMUSG00000048537.16;AF:chr9:44726180-44726276:44726486:44726180-44727051:44727350:-","AF","9","qA5.2"
"61","Vrk3","ENSMUSG00000002205.16;AF:chr7:44748646:44748729-44752115:44748943:44749397-44752115:+","AF","7","qB3"
"62","Mpzl1","ENSMUSG00000026566.15;AF:chr1:165608604-165609476:165609546:165608604-165613925:165613979:-","AF","1","qH2.2"
"63","Dbi","ENSMUSG00000026385.16;AF:chr1:120120012-120120121:120120170:120120012-120120945:120121014:-","AF","1","qE2.3"
"64","Crisp2","ENSMUSG00000023930.13;A5:chr17:40790664-40791859:40790664-40791877:-","A5","17","qB2"
"65","Sema4a","ENSMUSG00000028064.17;AF:chr3:88454846-88455548:88455739:88454846-88461147:88461182:-","AF","3","qF1"
"66","Lpar1","ENSMUSG00000038668.14;AF:chr4:58504781-58553101:58553184:58504781-58553480:58553628:-","AF","4","qB3"
"67","Ppp4r1","ENSMUSG00000061950.17;AF:chr17:65782780:65783019-65783624:65783416:65783449-65783624:+","AF","17","qE1.1"
"68","Cdkl3","ENSMUSG00000020389.19;AL:chr11:52033611-52033782:52033802:52033611-52040561:52040593:+","AL","11","qB1.3"
"69","Dbi","ENSMUSG00000026385.16;AF:chr1:120120012-120120121:120120170:120120012-120120945:120121047:-","AF","1","qE2.3"
"70","Prl7a1","ENSMUSG00000006488.16;A3:chr13:27640819-27642420:27640816-27642420:-","A3","13","qA3.1"
"71","Sema4a","ENSMUSG00000028064.17;AF:chr3:88454846-88455548:88455739:88454846-88458811:88458884:-","AF","3","qF1"
"72","Hormad2","ENSMUSG00000020419.11;SE:chr11:4424819-4425506:4425626-4427244:-","SE","11","qA1"
"73","4933424G06Rik","ENSMUSG00000102416.4;AF:chr1:36710149:36710491-36718822:36714538:36714697-36718822:+","AF","1","qB"
"74","Abca14","ENSMUSG00000062017.15;AL:chr7:120211637-120212636:120213026:120211637-120216129:120216406:+","AL","7","qF2"
"75","Brd3","ENSMUSG00000026918.16;AF:chr2:27464193-27475046:27475181:27464193-27475577:27475673:-","AF","2","qA3"
"76","Cln8","ENSMUSG00000026317.7;AF:chr8:14888045:14888076-14894572:14889359:14889417-14894572:+","AF","8","qA1.1"
"77","Dysf","ENSMUSG00000033788.15;AF:chr6:84008702:84009002-84037234:84019385:84019608-84037234:+","AF","6","qC3"
"78","Esrrb","ENSMUSG00000021255.17;AF:chr12:86361117:86361538-86470146:86421644:86421964-86470146:+","AF","12","qD2"
"79","G6pc3","ENSMUSG00000034793.15;SE:chr11:102192141-102192473:102192563-102193085:+","SE","11","qD"
"80","Gcnt7","ENSMUSG00000074569.4;SE:chr2:172451287-172452942:172453037-172453921:-","SE","2","qH3"
"81","Ifi47","ENSMUSG00000078920.3;MX:chr11:49087144-49091760:49091969-49095389:49087144-49094569:49094618-49095389:+","MX","11","qB1.2"
"82","Ing1","ENSMUSG00000045969.8;AF:chr8:11556111:11556200-11561418:11558196:11558244-11561418:+","AF","8","qA1.1"
"83","Itgb2l","ENSMUSG00000000157.15;A3:chr16:96426268-96426729:96426225-96426729:-","A3","16","qC4"
"84","Mfsd13b","ENSMUSG00000030877.11;A3:chr7:121000217-121014517:121000217-121014520:+","A3","7","qF2"
"85","Rgs4","ENSMUSG00000038530.11;SE:chr1:169743920-169744351:169744517-169744675:-","SE","1","qH2.3"
"86","Sema4a","ENSMUSG00000028064.17;AF:chr3:88454846-88456134:88456436:88454846-88458811:88458884:-","AF","3","qF1"
"87","Tet1","ENSMUSG00000047146.15;SE:chr10:62816473-62818939:62819034-62819473:-","SE","10","qB4"
"88","Tmprss11g","ENSMUSG00000079451.9;SE:chr5:86492290-86492808:86492846-86496506:-","SE","5","qE1"
"89","Slc17a1","ENSMUSG00000021335.13;A5:chr13:23870443-23872559:23870351-23872559:+","A5","13","qA3.1"
"90","Il12rb1","ENSMUSG00000000791.9;SE:chr8:70817346-70819325:70819421-70819682:+","SE","8","qB3.3"
"91","Cbarp","ENSMUSG00000035640.18;A5:chr10:80136494-80136663:80136494-80136705:-","A5","10","qC1"
"92","Zscan21","ENSMUSG00000037017.15;MX:chr5:138116988-138117836:138117920-138126454:138116988-138124978:138125690-138126454:+","MX","5","qG2"
"93","Nfkbid","ENSMUSG00000036931.14;AF:chr7:30421732:30421834-30423403:30422406:30422495-30423403:+","AF","7","qB1"
"94","Irgm2","ENSMUSG00000069874.7;AF:chr11:58199618:58199779-58219464:58215028:58215170-58219464:+","AF","11","qB1.3"
"95","Mif4gd","ENSMUSG00000020743.15;A5:chr11:115609096-115609280:115609096-115609371:-","A5","11","qE2"
"96","Dbi","ENSMUSG00000026385.16;AF:chr1:120120012-120120121:120120170:120120012-120120945:120121017:-","AF","1","qE2.3"
"97","Fam171a1","ENSMUSG00000050530.14;AF:chr2:3114224:3114265-3178236:3118685:3118935-3178236:+","AF","2","qA1"
"98","Ache","ENSMUSG00000023328.14;A3:chr5:137288367-137290009:137288367-137290012:+","A3","5","qG2"
"99","Sfmbt2","ENSMUSG00000061186.15;SE:chr2:10575511-10577529:10577627-10577815:+","SE","2","qA1"
"100","Odf2","ENSMUSG00000026790.19;AF:chr2:29889221:29889278-29892186:29889798:29889921-29892186:+","AF","2","qB"
"101","Dnajc12","ENSMUSG00000036764.11;AF:chr10:63382443:63382518-63395785:63386571:63386775-63395785:+","AF","10","qB4"
"102","Dgkz","ENSMUSG00000040479.11;SE:chr2:91944469-91944761:91944869-91945174:-","SE","2","qE1"
"103","Tax1bp1","ENSMUSG00000004535.12;AF:chr6:52713763:52713855-52721298:52714350:52714450-52721298:+","AF","6","qB3"
"104","Stxbp3","ENSMUSG00000027882.18;AL:chr3:108821803:108821888-108826006:108825618:108825870-108826006:-","AL","3","qF3"
"105","Mbnl1","ENSMUSG00000027763.13;SE:chr3:60473173-60500981:60501094-60595594:+","SE","3","qD"
"106","Endov","ENSMUSG00000039850.16;AF:chr11:119491389:119491459-119499527:119491630:119491956-119499527:+","AF","11","qE2"
"107","Mpzl1","ENSMUSG00000026566.15;AL:chr1:165593413:165593677-165608438:165605644:165605822-165608438:-","AL","1","qH2.2"
"108","Lsm2","ENSMUSG00000007050.17;A3:chr17:34982234-34982620:34982234-34982641:+","A3","17","qB1"
"109","Dnajc11","ENSMUSG00000039768.16;AF:chr4:151933744:151933824-151950394:151946332:151946502-151950394:+","AF","4","qE2"
"110","Hmox2","ENSMUSG00000004070.15;A5:chr16:4757170-4762559:4757127-4762559:+","A5","16","qA1"
"111","Slc35c2","ENSMUSG00000017664.16;AF:chr2:165283600-165287684:165287755:165283600-165287784:165287827:-","AF","2","qH3"
"112","Spock3","ENSMUSG00000054162.15;AF:chr8:62951009:62951301-62951800:62951361:62951528-62951800:+","AF","8","qB3.1"
"113","Spg7","ENSMUSG00000000738.18;AF:chr8:123062988:123063034-123066473:123065179:123065709-123066473:+","AF","8","qE2"
"114","Dnajc11","ENSMUSG00000039768.16;AF:chr4:151933734:151933824-151950394:151946332:151946502-151950394:+","AF","4","qE2"
"115","Dbi","ENSMUSG00000026385.16;AF:chr1:120120012-120120121:120120170:120120012-120120762:120120937:-","AF","1","qE2.3"
"116","Map3k12","ENSMUSG00000023050.8;AF:chr15:102510005-102510584:102510700:102510005-102516788:102516816:-","AF","15","qF3"
"117","Traf7","ENSMUSG00000052752.15;AF:chr17:24519246-24527455:24527489:24519246-24527766:24527784:-","AF","17","qA3.3"
"118","Spg7","ENSMUSG00000000738.18;AF:chr8:123062988:123063034-123066473:123065283:123065709-123066473:+","AF","8","qE2"
"119","Kcnq2","ENSMUSG00000016346.17;SE:chr2:181100618-181103642:181103671-181104887:-","SE","2","qH4"
"120","Afdn","ENSMUSG00000068036.14;AF:chr17:13760674:13760778-13803939:13761605:13762003-13803939:+","AF","17","qA2"
"121","Cad","ENSMUSG00000013629.16;SE:chr5:31076292-31076674:31076703-31077093:+","SE","5","qB1"
"122","Rbm41","ENSMUSG00000031433.15;AL:chrX:139889511:139890576-139954907:139943405:139945903-139954907:-","AL","X","qF1"
"123","Dnajc11","ENSMUSG00000039768.16;AF:chr4:151933731:151933824-151950394:151946332:151946502-151950394:+","AF","4","qE2"
"124","Nabp1","ENSMUSG00000026107.11;A5:chr1:51477616-51477722:51477616-51478368:-","A5","1","qC1.1"
"125","Spink2","ENSMUSG00000053030.11;AF:chr5:77209794-77211049:77211205:77209794-77211332:77211438:-","AF","5","qC3.3"
"126","Abtb1","ENSMUSG00000030083.11;AL:chr6:88836423:88836452-88838118:88836685:88836725-88838118:-","AL","6","qD1"
"127","Hipk1","ENSMUSG00000008730.17;AF:chr3:103778299-103790995:103791075:103778299-103791393:103791561:-","AF","3","qF2.2"
"128","Nxf1","ENSMUSG00000010097.13;AL:chr19:8767283-8767367:8767396:8767283-8767573:8767613:+","AL","19","qA"
"129","Atp6v0a1","ENSMUSG00000019302.16;AF:chr11:101009487:101009564-101011757:101010657:101010726-101011757:+","AF","11","qD"
"130","Rusc2","ENSMUSG00000035969.15;AF:chr4:43381979:43382199-43414628:43384332:43384433-43414628:+","AF","4","qA5"
"131","Rcbtb2","ENSMUSG00000022106.14;AL:chr14:73178563-73182459:73184218:73178563-73207192:73207843:+","AL","14","qD3"
"132","Krt26","ENSMUSG00000075570.2;RI:chr11:99335195:99335351-99336485:99336567:-","RI","11","qD"
"133","Ano10","ENSMUSG00000037949.8;AL:chr9:122201339:122201887-122251147:122248666:122248891-122251147:-","AL","9","qF4"
"134","Cd300a","ENSMUSG00000034652.12;A3:chr11:114893594-114894658:114893594-114894670:+","A3","11","qE2"
"135","Nucb1","ENSMUSG00000030824.17;AF:chr7:45509847-45510232:45510315:45509847-45510323:45510385:-","AF","7","qB3"
"136","Dnajc11","ENSMUSG00000039768.16;AF:chr4:151933739:151933824-151950394:151946332:151946502-151950394:+","AF","4","qE2"
"137","St3gal4","ENSMUSG00000032038.7;AF:chr9:35055649-35072571:35072631:35055649-35119003:35119183:-","AF","9","qA4"
"138","Ppp4r1","ENSMUSG00000061950.17;AF:chr17:65782573:65782683-65783624:65783416:65783449-65783624:+","AF","17","qE1.1"
"139","Slc35c2","ENSMUSG00000017664.16;RI:chr2:165283249:165283407-165283528:165283600:-","RI","2","qH3"
"140","Slc12a5","ENSMUSG00000017740.17;AF:chr2:164960846:164961003-164973687:164967983:164968454-164973687:+","AF","2","qH3"
"141","Spata20","ENSMUSG00000020867.13;AF:chr11:94485099-94485210:94485348:94485099-94486061:94486179:-","AF","11","qD"
"142","Slc35c2","ENSMUSG00000017664.16;A3:chr2:165283600-165287684:165283535-165287684:-","A3","2","qH3"
"143","Brd3","ENSMUSG00000026918.16;AF:chr2:27464193-27475142:27475398:27464193-27475577:27475673:-","AF","2","qA3"
"144","Hgf","ENSMUSG00000028864.7;A3:chr5:16566861-16572492:16566861-16572507:+","A3","5","qA3"
"145","Slc22a18","ENSMUSG00000000154.16;SE:chr7:143476305-143479285:143479382-143479720:+","SE","7","qF5"
"146","Exoc3l","ENSMUSG00000043251.6;A3:chr8:105295706-105295906:105295435-105295906:-","A3","8","qD3"
"147","Nrg4","ENSMUSG00000032311.17;AL:chr9:55221222:55221408-55226616:55224232:55225592-55226616:-","AL","9","qB"
"148","Dmd","ENSMUSG00000045103.17;AF:chrX:82948903:82949147-83136628:83043402:83043478-83136628:+","AF","X","qB-qC1"
"149","Cobll1","ENSMUSG00000034903.18;AF:chr2:65238489-65238595:65238721:65238489-65238983:65239047:-","AF","2","qC1.3"
"150","N4bp2l1","ENSMUSG00000041132.11;A3:chr5:150593437-150594264:150593218-150594264:-","A3","5","qG3"
"151","Cdkl3","ENSMUSG00000020389.19;SE:chr11:52033611-52040561:52040620-52084371:+","SE","11","qB1.3"
"152","Fam3a","ENSMUSG00000031399.15;A5:chrX:74392727-74392830:74392727-74392889:-","A5","X","qA7.3"
"153","Tnfrsf8","ENSMUSG00000028602.12;SE:chr4:145269235-145274283:145274496-145277526:-","SE","4","qE1"
"154","Tax1bp1","ENSMUSG00000004535.12;A5:chr6:52714629-52721298:52714450-52721298:+","A5","6","qB3"
"155","Mpnd","ENSMUSG00000003199.16;AF:chr17:56005711:56005814-56010277:56009333:56009586-56010277:+","AF","17","qD"
"156","Serpinb9c","ENSMUSG00000021404.12;AF:chr13:33157885-33158311:33158351:33157885-33158438:33158495:-","AF","13","qA3.3"
"157","Pprc1","ENSMUSG00000055491.13;A5:chr19:46057160-46061403:46056859-46061403:+","A5","19","qC3"
"158","Ric8a","ENSMUSG00000025485.13;AL:chr7:140861959-140862311:140862619:140861959-140863198:140864372:+","AL","7","qF4"
"159","Apbb1","ENSMUSG00000037032.16;A3:chr7:105565951-105566051:105565653-105566051:-","A3","7","qE3"
"160","R3hdm1","ENSMUSG00000056211.13;AF:chr1:128103301:128103483-128151744:128141964:128142092-128151744:+","AF","1","qE3"
"161","Mpv17","ENSMUSG00000107283.3;SE:chr5:31144752-31145240:31145278-31145495:-","SE","5","qB1"
"162","Kcne4","ENSMUSG00000047330.8;RI:chr1:78817611:78817821-78818497:78820028:+","RI","1","qC4"
"163","Fbxw2","ENSMUSG00000035949.15;AL:chr2:34812738:34813009-34822558:34815268:34816123-34822558:-","AL","2","qB"
"164","Tmem9","ENSMUSG00000026411.17;AF:chr1:136026997:136027528-136034068:136033254:136033321-136034068:+","AF","1","qE4"
"165","U2af1l4","ENSMUSG00000078765.11;RI:chr7:30564082:30564301-30564474:30564607:+","RI","7","qB1"
"166","Rbm12","ENSMUSG00000089824.10;A5:chr2:156103397-156111786:156103397-156111906:-","A5","2","qH1"
"167","Snrk","ENSMUSG00000038145.17;AF:chr9:122117283:122117407-122131893:122117752:122118053-122131893:+","AF","9","qF4"
"168","Mndal","ENSMUSG00000090272.7;SE:chr1:173862883-173865399:173865557-173871378:-","SE","1","qH3"
"169","Cobll1","ENSMUSG00000034903.18;AF:chr2:65238489-65238595:65238721:65238489-65239313:65239403:-","AF","2","qC1.3"
"170","Tgfb1i1","ENSMUSG00000030782.16;SE:chr7:128247008-128248177:128248292-128248420:+","SE","7","qF3"
"171","Irf7","ENSMUSG00000025498.15;A3:chr7:141264655-141264725:141264559-141264725:-","A3","7","qF4"
"172","Rbbp5","ENSMUSG00000026439.14;MX:chr1:132484077-132484746:132484801-132489588:132484077-132484802:132484918-132489588:+","MX","1","qE4"
"173","Lrch2","ENSMUSG00000031290.14;SE:chrX:147481672-147484754:147484804-147488234:-","SE","X","qF2"
"174","Nfe2l1","ENSMUSG00000038615.17;AF:chr11:96822319-96824076:96824127:96822319-96827198:96827719:-","AF","11","qD"
"175","Ice2","ENSMUSG00000032235.15;AF:chr9:69397927:69398053-69400477:69398648:69399087-69400477:+","AF","9","qC"
"176","Cachd1","ENSMUSG00000028532.14;AL:chr4:100994836-101002862:101003061:100994836-101029026:101029220:+","AL","4","qC6"
"177","Capzb","ENSMUSG00000028745.18;AF:chr4:139192899:139193028-139238909:139233383:139233477-139238909:+","AF","4","qD3"
"178","Rab23","ENSMUSG00000004768.14;AF:chr1:33719910:33720173-33721608:33720407:33720584-33721608:+","AF","1","qB"
"179","Spcs2","ENSMUSG00000035227.7;MX:chr7:99849059-99862385:99862529-99863228:99849059-99862821:99862994-99863228:-","MX","7","qE1"
"180","Cpa2","ENSMUSG00000071553.10;AF:chr6:30541582:30541729-30544135:30543208:30543900-30544135:+","AF","6","qA3.3"
"181","Ubap2l","ENSMUSG00000042520.16;AF:chr3:90047899-90052455:90052462:90047899-90052584:90052628:-","AF","3","qF1"
"182","Vps72","ENSMUSG00000008958.14;AF:chr3:95111073:95111095-95118225:95114662:95115110-95118225:+","AF","3","qF2.1"
"183","Ing1","ENSMUSG00000045969.8;AF:chr8:11555571:11555978-11561418:11558196:11558244-11561418:+","AF","8","qA1.1"
"184","Catsper3","ENSMUSG00000021499.12;A3:chr13:55786519-55798744:55786519-55798783:+","A3","13","qB1"
"185","Adgrl3","ENSMUSG00000037605.16;MX:chr5:81771680-81774393:81774431-81794264:81771680-81792361:81792378-81794264:+","MX","5","qD-qE1"
"186","Adgra1","ENSMUSG00000025475.17;SE:chr7:139835397-139840228:139840817-139845585:+","SE","7","qF4"
"187","Fam110b","ENSMUSG00000049119.14;AF:chr4:5644125:5644410-5729571:5724312:5724510-5729571:+","AF","4","qA1"
"188","Rad52","ENSMUSG00000030166.14;AF:chr6:119902739:119902835-119918587:119913951:119914237-119918587:+","AF","6","qF1"
"189","Cdkl3","ENSMUSG00000020389.19;AL:chr11:52033611-52033782:52033802:52033611-52037431:52038165:+","AL","11","qB1.3"
"190","Ccdc71","ENSMUSG00000049305.6;AF:chr9:108460535:108460588-108462938:108461420:108461594-108462938:+","AF","9","qF2"
"191","Dlgap1","ENSMUSG00000003279.16;SE:chr17:70078423-70206237:70206345-70308047:+","SE","17","qE1.3"
"192","Dixdc1","ENSMUSG00000032064.17;AF:chr9:50695583-50698558:50698635:50695583-50699366:50699437:-","AF","9","qA5.3"
"193","Plekha4","ENSMUSG00000040428.19;SE:chr7:45548090-45548518:45548603-45549060:+","SE","7","qB3"
"194","Arid5a","ENSMUSG00000037447.16;A3:chr1:36307836-36316209:36307836-36318084:+","A3","1","qB"
"195","Brd3","ENSMUSG00000026918.16;AF:chr2:27464193-27475577:27475653:27464193-27507490:27507662:-","AF","2","qA3"
"196","Fdps","ENSMUSG00000059743.12;AF:chr3:89100831-89100921:89101315:89100831-89101756:89101852:-","AF","3","qF1"
"197","Cbarp","ENSMUSG00000035640.18;AF:chr10:80137387-80139086:80139178:80137387-80140380:80140835:-","AF","10","qC1"
"198","Txnrd2","ENSMUSG00000075704.16;AF:chr16:18426438:18426559-18429811:18428697:18428755-18429811:+","AF","16","qA3"
"199","Fam171a1","ENSMUSG00000050530.14;AF:chr2:3118413:3118652-3178236:3118685:3118935-3178236:+","AF","2","qA1"
"200","Abca14","ENSMUSG00000062017.15;SE:chr7:120211637-120212636:120212795-120216129:+","SE","7","qF2"
"201","Slc46a3","ENSMUSG00000029650.10;A5:chr5:147894045-147894481:147894045-147894709:-","A5","5","qG3"
"202","Cbl","ENSMUSG00000034342.9;AF:chr9:44201207-44233361:44233544:44201207-44233700:44233984:-","AF","9","qA5.1"
"203","Pdlim2","ENSMUSG00000022090.10;AF:chr14:70175307-70176679:70176819:70175307-70177609:70177681:-","AF","14","qD2"
"204","Zfp78","ENSMUSG00000055150.15;AF:chr7:6363310:6363347-6371306:6363380:6363439-6371306:+","AF","7","qA1"
"205","Pkn3","ENSMUSG00000026785.14;AF:chr2:30077684:30077799-30079534:30078698:30078790-30079534:+","AF","2","qB"
"206","Map3k12","ENSMUSG00000023050.8;AF:chr15:102510005-102510584:102510700:102510005-102516788:102516812:-","AF","15","qF3"
"207","Odf2","ENSMUSG00000026790.19;AF:chr2:29889221:29889278-29892186:29889825:29889921-29892186:+","AF","2","qB"
"208","Pde4c","ENSMUSG00000031842.13;A3:chr8:70749033-70749223:70749033-70749325:+","A3","8","qB3.3"
"209","Nrg1","ENSMUSG00000062991.7;AF:chr8:31968185-32009010:32009491:31968185-32883516:32883862:-","AF","8","qA3"
"210","Fam214b","ENSMUSG00000036002.12;AF:chr4:43037206-43045648:43045797:43037206-43046104:43046220:-","AF","4","qA5"
"211","Engase","ENSMUSG00000033857.12;SE:chr11:118479287-118481276:118481424-118481874:+","SE","11","qE2"
"212","Pik3r4","ENSMUSG00000032571.14;AF:chr9:105642981:105643027-105644196:105643201:105643390-105644196:+","AF","9","qF1"
"213","Tnfaip2","ENSMUSG00000021281.15;SE:chr12:111445283-111447983:111448097-111448247:+","SE","12","qF1"
"214","Prdm16","ENSMUSG00000039410.16;SE:chr4:154320922-154322271:154322445-154323247:-","SE","4","qE2"
"215","Lrrc61","ENSMUSG00000073096.11;A5:chr6:48554982-48568137:48554893-48568137:+","A5","6","qB2.3"
"216","Wdr17","ENSMUSG00000039375.16;SE:chr8:54696397-54703834:54703939-54724288:-","SE","8","qB1.3"
"217","Mfsd11","ENSMUSG00000020818.16;AF:chr11:116852440:116852855-116854000:116853762:116853903-116854000:+","AF","11","qE2"
"218","Bcas1","ENSMUSG00000013523.13;A3:chr2:170418685-170420591:170418655-170420591:-","A3","2","qH3"
